Marketing Channel,Purchase Platform,Product_Name,Region,AccountCreationMethod,Currency,CountryCode,Order_id,ProductID,User_id,Price_numeric,Price_,Purchase Ts,Created On,Ship Ts,Delivery Ts,Refund Ts,Time_To_ship
Organic Search,Desktop,Home - Lamp,Asia Pacific,<function <lambda> at 0x7eee90f8bc40>,AUD,AU,ORD00025679,PROD9438,USER0000002,79.73,AUD 79.73,2019-09-10 00:00:00,2019-09-10 00:00:00,,,,
Social Media - Facebook,Mobile Web,Books - Self-Help Book,Europe,Email,,ES,ORD00064759,PROD2093,USER0000012,13.63,EUR 13.63,2021-06-06 00:00:00,2021-02-11 00:00:00,2021-06-12 00:00:00,2021-06-19 00:00:00,,6.0
Paid Search,Mobile Web,Beauty - Face Moisturizer,Europe,Google OAuth,GBP,GB,ORD00010782,PROD7321,USER0000002,41.61,GBP 41.61,2019-04-07 00:00:00,2019-01-01 00:00:00,2019-04-16 00:00:00,2019-04-21 00:00:00,,9.0
Organic Search,Mobile Web,Electronics - Laptop Stand,Asia Pacific,<function <lambda> at 0x7eee90f8bc40>,JPY,JP,ORD00052960,PROD7104,USER0000002,19446.16,JPY 19446.16,2020-10-04 00:00:00,2020-10-04 00:00:00,2020-10-08 00:00:00,2020-10-13 00:00:00,,4.0
Direct,Mobile Web,Sports - Gym Bag,South America,Email,ARS,AR,ORD00014677,PROD4692,USER0000005,53429.11,ARS 53429.11,2019-05-16 00:00:00,2019-05-16 00:00:00,,,,
Affiliate,Desktop,  Beauty - Face Moisturizer  ,Europe,Email,EUR,DE,ORD00000518,PROD4388,USER0000002,11.73,EUR 11.73,2019-01-05 00:00:00,2019-01-01 00:00:00,2019-01-06 00:00:00,2019-01-11 00:00:00,,1.0
Direct,Desktop,Books - Mystery Novel,Europe,Phone,GBP,GB,ORD00054948,PROD9339,USER0000002,19.04,GBP 19.04,2020-11-09 00:00:00,2020-10-21 00:00:00,2020.11.12,11/16/2020,,3.0
Social Media - Pinterest,Mobile Web,Toys - Action Figure,Asia Pacific,Google OAuth,JPY,JP,ORD00095944,PROD7809,USER0000061,9794.52,JPY 9794.52,2025-12-31 00:00:00,06-10-2025,2026-01-03 00:00:00,2026-01-11 00:00:00,,3.0
Direct,Desktop,Fashion - Socks,Asia Pacific,Email,JPY,JP,ORD00048180,PROD7265,USER0000002,5159.88,5160 JPY,2020-07-14 00:00:00,2020-03-15 00:00:00,2020-07-16 00:00:00,2020-07-21 00:00:00,,2.0
Social Media - Instagram,Desktop,Toys - Puzzle,Europe,Email,EUR,IT,ORD00083020,PROD8136,USER0000002,57.99,57.99,2023-02-12 00:00:00,2023-01-01 00:00:00,,,,
Social Media - Instagram,Mobile Web,Food - Hot Sauce,Asia Pacific,Facebook OAuth,INR,IN,ORD00071479,PROD6126,USER0000009,1384.64,INR 1384.64,2021.12.02,2021-08-21 00:00:00,2021-12-07 00:00:00,2021-12-14 00:00:00,,5.0
Direct,Mobile Web,Electronics - HDMI Cable,South America,Email,MXN,MX,ORD00039815,PROD6555,USER0000003,3741.09,MXN 3741.09,2020-03-08 00:00:00,2020-03-07 00:00:00,2020-03-22 00:00:00,2020-04-01 00:00:00,,14.0
Organic Search,Desktop,Electronics - Laptop Stand,Europe,Email,GBP,GB,ORD00026543,PROD7684,USER0000002,9002.0,GBP 90.02,2019-09-20 00:00:00,2019-08-14 00:00:00,2019-09-26 00:00:00,2019-10-03 00:00:00,,6.0
Organic Search,Mobile Web,Toys - LEGO Set,<function <lambda> at 0x7eee915b4860>,Google OAuth,CAD,CA,ORD00012794,PROD5963,USER0000002,99.34,CAD 99.34,2019-04-27 00:00:00,2019-04-27 00:00:00,2019-04-30 00:00:00,2019-05-02 00:00:00,,3.0
Organic Search,Desktop,Home - Throw Pillow,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00078526,PROD2030,USER0020754,130.59,USD 130.59,2022-07-31 00:00:00,2022-07-15 00:00:00,2022-08-08 00:00:00,2022-08-13 00:00:00,,8.0
Paid Search,Mobile App,Sports - Protein Powder,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00073694,PROD8959,USER0000004,73.28,USD 73.28,02/08/2022,2022-01-17 00:00:00,02/09/2022,2022-02-11 00:00:00,,1.0
Organic Serach,Desktop,Electronics - Keyboard,Asia Pacific,Email,SGD,SG,ORD00031679,PROD5921,USER0000002,277.47,SGD 277.47,2019-11-21 00:00:00,06/26/2019,2019-11-22 00:00:00,2019-11-26 00:00:00,,1.0
Paid Search,Mobile Web,Electronics - Phone Case,Asia Pacific,<function <lambda> at 0x7eee90f8bc40>,AUD,AU,ORD00033762,PROD2530,USER0000030,,,2019-12-16 00:00:00,2019-12-16 00:00:00,2019-12-18 00:00:00,2019-12-23 00:00:00,,2.0
Social Media - facebook,Desktop,Home - Towel Set,Europe,<function <lambda> at 0x7eee90f8bc40>,EUR,DE,ORD00037944,PROD7410,USER0000003,79.69,EUR 79.69,2020-02-10 00:00:00,2020-02-10 00:00:00,2020-02-11 00:00:00,2020-02-17 00:00:00,,1.0
Social Media - TikTok,Desktop,Fashion - Jacket,Europe,Facebook OAuth,GBP,GB,ORD00034874,PROD2748,USER0000003,40.26,GBP 40.26,2019-12-30 00:00:00,2019-10-25 00:00:00,01/05/2020,2020-01-13 00:00:00,,6.0
Direct,Mobile Web,Books - Self-Help Book,<function <lambda> at 0x7eee915b4860>,Email,USD,,ORD00068910,PROD1594,USER0000003,35.0,USD 35.00,2021-09-20 00:00:00,2021-09-01 00:00:00,2021.09.23,2021-09-29 00:00:00,,3.0
Direct,Mobile Web,  Electronics - Smart Watch  ,Middle East,Email,AED,AE,ORD00020000,PROD9378,USER0000014,467.16,AED 467.16,2019-07-09 00:00:00,2019-06-01 00:00:00,2019-07-10 00:00:00,2019-07-19 00:00:00,,1.0
Organic Search,Desktop,Electronics - Screen Protector,Asia Pacific,Apple ID,JPY,JP,ORD00097450,PROD4347,USER0000002,25178.09,JPY 25178.09,2025-12-31 00:00:00,2025-09-05 00:00:00,2026-01-01 00:00:00,2026-01-09 00:00:00,,1.0
Email Marketing,Mobile Web,Beauty - Body Lotion,Europe,Email,EUR,FR,ORD00007693,PROD9970,USER0000341,47.8,EUR 47.80,2019-03-10 00:00:00,2019-01-21 00:00:00,2019.03.12,03/17/2019,,2.0
Direct,Desktop,Home - Lamp,Asia Pacific,Email,INR,IN,ORD00085147,PROD2304,USER0000002,3068.86,INR 3068.86,2023-06-07 00:00:00,2023-03-01 00:00:00,2023-06-12 00:00:00,2023-06-17 00:00:00,,5.0
Email Marketing,Mobile Web,Home - Curtains,Asia Pacific,Google OAuth,JPY,JP,ORD00057277,PROD9136,USER0000003,9480.23,JPY 9480.23,2020-12-24 00:00:00,2020-12-20 00:00:00,2020-12-25 00:00:00,2020.12.31,,1.0
Organic Search,Mobile Web,Home - Throw Pillow,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00064762,PROD4934,USER0000005,66.24,USD 66.24,2021-06-06 00:00:00,2021-04-10 00:00:00,2021-06-07 00:00:00,2021-06-12 00:00:00,,1.0
Social Media - Instagram,Mobile Web,Home - Throw Pillow,Europe,Google OAuth,EUR,DE,ORD00020803,PROD5176,USER0000004,68.86,EUR 68.86,2019-07-18 00:00:00,2019.02.07,,,,
Organic Search,Mobile Web,Sports - Resistance Bands,Europe,Google OAuth,EUR,DE,ORD00019907,PROD3723,USER0000002,59.13,EUR 59.13,2019-07-08 00:00:00,05/14/2019,2019-07-13 00:00:00,2019-07-18 00:00:00,,5.0
Social Media - Facebook,Desktop,Home - Candle,Europe,Email,EUR,DE,ORD00037583,PROD9624,USER0000002,57.84,EUR 57.84,2020-02-05,2020-01-17 00:00:00,2020-02-07 00:00:00,2020-02-11 00:00:00,,2.0
Social Media - Facebook,Mobile Web,Fashion - Jeans,Europe,Email,EUR,DE,ORD00057442,PROD9338,USER0000002,92.35,92 EUR,2020-12-27 00:00:00,07-12-2020,,,,
Email Marketing,Mobile Web,Home - Throw Pillow,<function <lambda> at 0x7eee915b4860>,Facebook OAuth,USD,US,ORD00004541,PROD3101,USER0000003,119.04,USD 119.04,2019-02-09 00:00:00,01-01-2019,2019-02-18 00:00:00,2019.02.23,,9.0
Organic Search,Mobile Web,Electronics - Keyboard,<function <lambda> at 0x7eee915b4860>,<function <lambda> at 0x7eee90f8bc40>,USD,US,ORD00093176,PROD2886,USER0000002,229.64,USD 229.64,2025-03-20 00:00:00,2025-03-20 00:00:00,2025-03-21 00:00:00,03/24/2025,,1.0
Organic Search,Mobile Web,Fashion - Hoodie,<function <lambda> at 0x7eee915b4860>,Facebook OAuth,USD,US,ORD00005190,PROD9212,USER0000011,62.0,USD 62.00,2019-02-15 00:00:00,2019-01-01 00:00:00,2019-02-17 00:00:00,2019-02-21 00:00:00,,2.0
Organic Search,Mobile Web,Books - Sci-Fi Novel,Europe,Google OAuth,EUR,IT,ORD00004718,PROD6044,USER0000003,24.44,EUR 24.44,2019-02-11 00:00:00,2019-01-20 00:00:00,2019-02-15 00:00:00,2019-02-18 00:00:00,,4.0
Social Media - Instagram,Desktop,Toys - LEGO Set,Europe,Email,EUR,DE,ORD00031880,PROD7784,USER0000004,53.8,EUR 53.80,2019-11-23 00:00:00,2019-06-23 00:00:00,2019-11-26 00:00:00,2019-12-02 00:00:00,,3.0
Social Media - Pinterest,Mobile Web,Food - Tea Set,Europe,Google OAuth,EUR,NL,ORD00050130,PROD2098,USER0000002,26.33,EUR 26.33,2020-08-16 00:00:00,2020-06-30 00:00:00,,,,
Direct,Desktop,Food - Snack Mix,Asia Pacific,Email,AUD,,ORD00079020,PROD5581,USER0000002,34.81,AUD 34.81,2022-08-19 00:00:00,08/18/2022,,,,
Paid Search,Mobile Web,Fashion - T-Shirt,<function <lambda> at 0x7eee915b4860>,Google OAuth,CAD,CA,ORD00024726,PROD3292,USER0000327,132.56,CAD 132.56,2019-08-30 00:00:00,2019-08-28 00:00:00,2019-09-02 00:00:00,2019-09-09 00:00:00,,3.0
Social Media - Pinterest,Mobile Web,Home - Curtains,<function <lambda> at 0x7eee915b4860>,Google OAuth,USD,US,ORD00092168,PROD6997,USER0000003,49.5,USD 49.50,2024-11-26 00:00:00,2024-10-03 00:00:00,2024-11-27 00:00:00,2024-11-30 00:00:00,,1.0
Social Media - TikTok,Desktop,Books - Cookbook,<function <lambda> at 0x7eee915b4860>,Google OAuth,USD,US,ORD00092021,PROD5611,USER0000004,16.65,USD 16.65,2024-11-10 00:00:00,2024-07-29 00:00:00,2024-11-15 00:00:00,2024-11-22 00:00:00,,5.0
Paid Search,Mobile Web,Fashion - Backpack,South America,Email,MXN,MX,ORD00038154,PROD5111,USER0000002,712.1,MXN 712.10,2020-02-13 00:00:00,2020-01-24 00:00:00,2020-02-16 00:00:00,2020-02-23 00:00:00,,3.0
OrganicSearch,Mobile Web,Fashion - T-Shirt,Europe,Email,EUR,IT,ORD00040527,PROD8166,USER0000005,63.14,EUR 63.14,2020-03-19 00:00:00,2019-12-10 00:00:00,,,,
Social Media - Instagram,Desktop,Books - Cookbook,Asia Pacific,Email,AUD,AU,ORD00095543,PROD6741,USER0000002,33.21,33 AUD,2025.12.31,2025-12-10 00:00:00,2026-01-01 00:00:00,2026-01-05 00:00:00,,1.0
Social Media - Instagram,Mobile Web,Fashion - Backpack,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00098505,PROD2356,USER0000002,59.43,USD 59.43,2025-12-31 00:00:00,2025-07-07 00:00:00,2026-01-04 00:00:00,2026.01.07,2026-01-17 00:00:00,4.0
Social Media - Facebook,Mobile App,Electronics - Laptop Stand,Europe,Google OAuth,EUR,IT,ORD00051352,PROD2642,USER0000002,168.48,EUR 168.48,2020-09-06 00:00:00,2020-04-02 00:00:00,2020-09-08 00:00:00,2020-09-14 00:00:00,,2.0
Paid Search,Desktop,Electronics - USB Cable,Middle East,Google OAuth,SAR,SA,ORD00003501,PROD3837,USER0000003,264.8,SAR 264.80,2019-01-31 00:00:00,2019-01-01 00:00:00,,,,
Organic Search,Desktop,Food - Tea Set,Asia Pacific,Email,SGD,SG,ORD00064226,PROD7292,USER0000002,55.67,SGD 55.67,2021-05-25,2021-02-25 00:00:00,05/28/2021,05-06-2021,,3.0
Direct,Mobile App,  Electronics - Mouse  ,Asia Pacific,<function <lambda> at 0x7eee90f8bc40>,AUD,AU,ORD00032409,PROD8717,USER0000004,97.97,AUD 97.97,2019-11-30 00:00:00,30-11-2019,,,2025-06-15 00:00:00,
Organic Search,Desktop,Food - Tea Set,Asia Pacific,Apple ID,SGD,SG,ORD00060866,PROD1648,USER0000006,28.18,SGD 28.18,2021-03-10 00:00:00,2021-01-31 00:00:00,2021-03-12 00:00:00,17-03-2021,,2.0
Organic Search,Mobile Web,Electronics - Smart Watch,Middle East,Email,AED,AE,ORD00042399,PROD3809,USER0000003,880.18,AED 880.18,2020-04-14 00:00:00,2020-02-20 00:00:00,2020-04-18 00:00:00,2020-04-25 00:00:00,,4.0
Social Media - Facebook,Desktop,Beauty - Face Moisturizer,South America,Email,BRL,BR,ORD00058313,PROD1382,USER0000004,152.95,BRL 152.95,2021.01.15,2020-10-11 00:00:00,2021-01-16 00:00:00,2021-01-21 00:00:00,,1.0
Other,Mobile Web,Fashion - Sneakers,<function <lambda> at 0x7eee915b4860>,Google OAuth,USD,US,ORD00057648,PROD5404,USER0000003,113.88,USD 113.88,2021-01-01 00:00:00,12/01/2020,2021-01-03 00:00:00,2021-01-06 00:00:00,2021-01-08 00:00:00,2.0
email marketing,Mobile Web,Fashion - Hoodie,<function <lambda> at 0x7eee915b4860>,Facebook OAuth,USD,US,ORD00053569,PROD4779,USER0000002,69.14,USD 69.14,2020-10-15 00:00:00,15-07-2020,2020-10-18 00:00:00,21-10-2020,,3.0
organic search,Desktop,Electronics - Laptop Stand,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00044055,PROD1962,USER0000002,186.8,USD 186.80,2020-05-09 00:00:00,2020-04-08 00:00:00,2020-05-13 00:00:00,2020-05-15 00:00:00,,4.0
Organic Search,Desktop,Sports - Water Bottle,<function <lambda> at 0x7eee915b4860>,Google OAuth,USD,US,ORD00072934,PROD4791,USER0000007,,,2022-01-15 00:00:00,2021-12-18 00:00:00,2022-01-20 00:00:00,2022-01-22 00:00:00,,5.0
Organic Search,Desktop,Sports - Yoga Mat,South America,Email,BRL,BR,ORD00068954,PROD2921,USER0000012,891.0,BRL 891.00,2021-09-21 00:00:00,2021-09-21 00:00:00,2021-09-23 00:00:00,09/28/2021,,2.0
Direct,Desktop,Electronics - Bluetooth Speaker,Europe,Facebook OAuth,EUR,DE,ORD00055229,PROD3138,USER0000002,100.13,EUR 100.13,2020-11-15,2020-11-14 00:00:00,,,,
Organic Search,Desktop,Electronics - Keyboard,Europe,Email,EUR,DE,ORD00090484,PROD9047,USER0000002,192.57,EUR 192.57,2024-06-10 00:00:00,2024-06-05 00:00:00,06/11/2024,2024-06-15 00:00:00,,1.0
Paid Search,Mobile Web,Electronics - Bluetooth Speaker,Asia Pacific,Email,AUD,AU,ORD00009641,PROD6707,USER0000002,107.28,AUD 107.28,2019-03-27 00:00:00,2019-03-25 00:00:00,,,,
Organic Search,Desktop,Sports - Resistance Bands,Europe,Facebook OAuth,EUR,FR,ORD00030223,PROD8640,USER0000003,59.85,EUR 59.85,2019-11-03 00:00:00,2019-10-22 00:00:00,,,,
Direct,Mobile App,Fashion - Socks,Europe,Email,EUR,IT,ORD00037531,PROD8267,USER0000002,41.12,41.12,2020-02-04 00:00:00,2020-01-27 00:00:00,2020-02-06 00:00:00,11-02-2020,,2.0
Social Media - Pinterest,Mobile Web,Fashion - Scarf,South America,Facebook OAuth,ARS,AR,ORD00038050,PROD3456,USER0000007,,,2020-02-12 00:00:00,2020-02-06 00:00:00,,,,
Organic Search,Mobile Web,Fashion - Sneakers,<function <lambda> at 0x7eee915b4860>,Google OAuth,CAD,CA,ORD00035831,PROD6215,USER0000002,124.3,CAD 124.30,2020-01-12,2020-01-04 00:00:00,,,,
Direct,Desktop,Electronics - HDMI Cable,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00085142,PROD3164,USER0000002,11880.0,USD 118.80,2023-06-07 00:00:00,2023-06-06 00:00:00,2023-06-08 00:00:00,2023-06-13 00:00:00,,1.0
Direct,Mobile Web,Fashion - Hat,Europe,Email,EUR,DE,ORD00047625,PROD1421,USER0000002,29.73,EUR 29.73,2020-07-05 00:00:00,2020-06-08 00:00:00,2020-07-10 00:00:00,2020-07-13 00:00:00,,5.0
Social Media - Pinterest,Desktop,Electronics - Phone Case,Asia Pacific,Email,INR,IN,ORD00007253,PROD2461,USER0000002,7106.63,INR 7106.63,2019-03-06 00:00:00,2019-01-16 00:00:00,,,,
Podcast,Desktop,Electronics - Smart Watch,Asia Pacific,Google OAuth,SGD,SG,ORD00002549,PROD8909,USER0000083,335.0,SGD 335.00,2019-01-23 00:00:00,2019-01-01 00:00:00,2019-01-24 00:00:00,2019-01-31 00:00:00,,1.0
Email Marketing,Desktop,Fashion - Backpack,<function <lambda> at 0x7eee915b4860>,Google OAuth,USD,US,ORD00055730,PROD2944,USER0000002,77.75,USD 77.75,2020-11-24 00:00:00,2020-06-01 00:00:00,2020-11-27 00:00:00,2020-12-01 00:00:00,,3.0
Organic Search,Desktop,Fashion - Sunglasses,Europe,Apple ID,EUR,DE,ORD00072505,PROD2493,USER0000004,38.48,38.48,2022-01-01 00:00:00,2021-11-21 00:00:00,2022-01-03 00:00:00,2022-01-07 00:00:00,,2.0
Referral,Mobile Web,Beauty - Nail Polish,<function <lambda> at 0x7eee915b4860>,Google OAuth,CAD,CA,ORD00032032,PROD1209,USER0000002,59.66,CAD 59.66,2019-11-25,2019-09-02 00:00:00,2019-11-29 00:00:00,2019-12-06 00:00:00,,4.0
Social Media - Instagram,Mobile App,Home - Throw Pillow,<function <lambda> at 0x7eee915b4860>,Apple ID,CAD,CA,ORD00013607,PROD5109,USER0000009,88.43,CAD 88.43,2019-05-05 00:00:00,2019-03-18 00:00:00,2019-05-09 00:00:00,2019-05-12 00:00:00,,4.0
  Social Media - Facebook  ,Desktop,Sports - Yoga Mat,<function <lambda> at 0x7eee915b4860>,Email,USD,,ORD00049941,,USER0000002,66.76,USD 66.76,2020.08.13,2020-04-21 00:00:00,16-08-2020,21-08-2020,,3.0
Paid Search,Mobile Web,Fashion - Scarf,Asia Pacific,Facebook OAuth,INR,IN,ORD00014979,PROD3033,USER0000002,3257.93,INR 3257.93,2019-05-19 00:00:00,2019-05-02 00:00:00,,,,
Direct,Mobile Web,Electronics - Webcam,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00078963,PROD8839,USER0001379,250.0,USD 250.00,2022-08-17 00:00:00,2022-08-01 00:00:00,,,,
Organic Search,Mobile Web,Electronics - Webcam,<function <lambda> at 0x7eee915b4860>,Google OAuth,CAD,CA,ORD00072236,PROD4680,USER0000003,235.89,CAD 235.89,2021-12-24 00:00:00,2021-11-08 00:00:00,2021-12-27 00:00:00,2021-12-31 00:00:00,,3.0
Paid Search,Mobile Web,Electronics - Screen Protector,Middle East,Google OAuth,AED,AE,ORD00047602,PROD6016,USER0000002,737.78,AED 737.78,2020-07-04 00:00:00,2020-05-19 00:00:00,07-07-2020,2020-07-15 00:00:00,,3.0
Email Marketing,Desktop,Electronics - Bluetooth Speaker,Europe,Google OAuth,GBP,GB,ORD00037192,PROD6493,USER0000003,49.91,GBP 49.91,01/30/2020,2019-12-17 00:00:00,2020-01-31 00:00:00,2020.02.07,,1.0
  Paid Serch  ,Mobile Web,Food - Snack Mix,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00011243,PROD2890,USER0000011,29.96,USD 29.96,2019-04-11 00:00:00,2019-03-07 00:00:00,2019-04-14 00:00:00,2019-04-19 00:00:00,,3.0
Organic Serach,Mobile Web,Beauty - Lipstick,South America,Apple ID,BRL,BR,ORD00017901,PROD6966,USER0000002,168.39,BRL 168.39,2019-06-17 00:00:00,2019-06-11 00:00:00,2019-06-18 00:00:00,2019-06-30 00:00:00,,1.0
Social Media - Facebook,Mobile Web,Beauty - Perfume,Asia Pacific,Google OAuth,AUD,AU,ORD00052623,PROD7617,USER0000002,56.68,AUD 56.68,2020-09-28 00:00:00,2020-07-19 00:00:00,,,,
Organic Search,Mobile Web,Sports - Running Shoes,Asia Pacific,Google OAuth,NZD,NZ,ORD00076351,PROD4717,USER0000002,154.01,NZD 154.01,2022-05-10,2022-02-22 00:00:00,,,2025-06-15 00:00:00,
Paid Search,Desktop,Fashion - Scarf,<function <lambda> at 0x7eee915b4860>,Google OAuth,USD,US,ORD00032658,PROD6141,USER0000002,94.41,USD 94.41,2019-12-02 00:00:00,2019-11-12 00:00:00,,,,
OrganicSearch,Desktop,Sports - Water Bottle,Middle East,Email,AED,AE,ORD00027416,PROD5466,USER0000002,194.0,AED 194.00,2019-09-30 00:00:00,2019-08-13 00:00:00,2019-10-05 00:00:00,2019-10-12 00:00:00,,5.0
Organic Search,Desktop,Electronics - Wireless Earbuds,South America,Google OAuth,MXN,MX,ORD00025640,PROD1817,USER0000046,3208.52,MXN 3208.52,2019-09-09 00:00:00,2019-06-12 00:00:00,2019-09-12 00:00:00,2019-09-18 00:00:00,2019-09-20 00:00:00,3.0
Organic Search,Mobile Web,Electronics - Phone Case,<function <lambda> at 0x7eee915b4860>,Google OAuth,USD,US,ORD00048330,PROD3778,USER0000006,250.0,USD 250.00,2020-07-17 00:00:00,2020-07-07 00:00:00,2020-07-20 00:00:00,2020-07-27 00:00:00,,3.0
Organic Search,Mobile Web,Electronics - Portable Charger,Africa,Google OAuth,ZAR,ZA,ORD00077837,PROD9214,USER0000004,1924.85,ZAR 1924.85,2022-07-04 00:00:00,2022-06-26 00:00:00,2022-07-05 00:00:00,2022-07-13 00:00:00,2022-07-15 00:00:00,1.0
Social Media - Instagram,Desktop,Electronics - Mouse,Europe,Facebook OAuth,EUR,FR,ORD00011177,PROD2269,USER0000002,175.73,EUR 175.73,2019-04-11 00:00:00,2019-03-14 00:00:00,2019-04-14 00:00:00,2019-04-18 00:00:00,,3.0
Email Marketing,Desktop,Beauty - Lipstick,<function <lambda> at 0x7eee915b4860>,<function <lambda> at 0x7eee90f8bc40>,USD,US,ORD00086380,PROD1338,USER0000010,78.03,USD 78.03,2023-08-17 00:00:00,17-08-2023,2023-08-20 00:00:00,2023-08-24 00:00:00,,3.0
  Direct  ,Mobile Web,Books - Sci-Fi Novel,Europe,Google OAuth,EUR,FR,ORD00016762,PROD6681,USER0000002,15.22,EUR 15.22,2019-06-06 00:00:00,2019-06-04 00:00:00,2019-06-07 00:00:00,2019-06-14 00:00:00,,1.0
Direct,Mobile Web,Home - Rug,Europe,Phone,EUR,DE,ORD00047443,PROD4052,USER0000131,49.26,EUR 49.26,2020-07-02 00:00:00,2020-06-06 00:00:00,2020-07-04 00:00:00,2020-07-08 00:00:00,,2.0
Organic Search,Desktop,Electronics - Laptop Stand,Asia Pacific,Email,INR,IN,ORD00021683,PROD8249,USER0000002,7886.79,INR 7886.79,2019-07-27 00:00:00,2019-04-01 00:00:00,2019-07-28 00:00:00,2019-08-05 00:00:00,,1.0
Direct,Desktop,Electronics - HDMI Cable,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00071179,PROD1153,USER0000002,116.5,USD 116.50,2021-11-22 00:00:00,10/01/2021,2021-11-26 00:00:00,01-12-2021,,4.0
Organic Search,Mobile Web,Electronics - Phone Case,Europe,Google OAuth,EUR,FR,ORD00080550,PROD5080,USER0000002,165.05,EUR 165.05,2022-10-22,2022-09-08 00:00:00,25-10-2022,2022-10-30 00:00:00,,3.0
Paid Search,Mobile Web,Sports - Resistance Bands,<function <lambda> at 0x7eee915b4860>,Google OAuth,USD,US,ORD00098627,PROD2518,USER0000476,58.85,USD 58.85,2025-12-31 00:00:00,2025-11-08 00:00:00,2026-01-02 00:00:00,2026-01-06 00:00:00,,2.0
Paid Search,Mobile App,Electronics - Screen Protector,<function <lambda> at 0x7eee915b4860>,Apple ID,USD,US,ORD00010329,PROD7800,USER0000002,94.09,USD 94.09,2019-04-03 00:00:00,2019-03-31 00:00:00,06-04-2019,11-04-2019,,3.0
Organic Search,Desktop,Electronics - USB Cable,Europe,,EUR,IT,ORD00026691,PROD5210,USER0000029,170.43,EUR 170.43,2019-09-21 00:00:00,2019-08-02 00:00:00,2019-09-23 00:00:00,2019-09-30 00:00:00,,2.0
Social Media - Instagram,Desktop,Food - Protein Bar Box,<function <lambda> at 0x7eee915b4860>,Google OAuth,USD,US,ORD00061227,PROD6006,USER0001711,41.19,USD 41.19,2021-03-17,2021-02-25 00:00:00,2021-03-21 00:00:00,2021-03-27 00:00:00,,4.0
Paid Search,Desktop,Beauty - Body Lotion,<function <lambda> at 0x7eee915b4860>,Email,CAD,CA,ORD00004584,PROD3148,USER0000002,33.07,CAD 33.07,2019-02-10 00:00:00,2019-01-01 00:00:00,2019-02-13 00:00:00,2019-02-16 00:00:00,,3.0
Social Media - Facebook,Mobile Web,Electronics - Bluetooth Speaker,<function <lambda> at 0x7eee915b4860>,Facebook OAuth,USD,US,ORD00092694,PROD9039,USER0000006,105.33,USD 105.33,2025-01-25 00:00:00,2024-11-06 00:00:00,2025-01-27 00:00:00,2025-02-03 00:00:00,,2.0
Email Marketing,Desktop,Home - Bed Sheets,Europe,Google OAuth,EUR,DE,ORD00048209,PROD3928,USER0000002,68.95,EUR 68.95,15-07-2020,2020-06-01 00:00:00,2020-07-20 00:00:00,2020-07-25 00:00:00,,5.0
Paid Search,Mobile Web,Food - Protein Bar Box,Asia Pacific,Email,AUD,AU,ORD00081161,PROD4614,USER0000002,69.77,AUD 69.77,2022-11-19 00:00:00,2022-11-08 00:00:00,,,,
Direct,Mobile Web,Beauty - Serum,Europe,Google OAuth,GBP,GB,ORD00084945,PROD8683,USER0000002,42.13,GBP 42.13,2023-05-27 00:00:00,2022-06-26 00:00:00,2023-05-28 00:00:00,2023-06-03 00:00:00,,1.0
Email Marketing,Desktop,Electronics - Smart Watch,Asia Pacific,Email,AUD,AU,ORD00043154,PROD5217,USER0000011,290.97,AUD 290.97,2020-04-25 00:00:00,2020.04.23,04/26/2020,2020-05-05 00:00:00,,1.0
Direct,Desktop,Fashion - Sneakers,Europe,Email,EUR,DE,ORD00050609,PROD2536,USER0000002,110.4,110.40,2020-08-24 00:00:00,2020-07-07 00:00:00,2020-08-26 00:00:00,2020-08-29 00:00:00,,2.0
Organic Search,Mobile Web,Food - Hot Sauce,Europe,Email,EUR,ES,ORD00060539,PROD7477,USER0000003,55.2,EUR 55.20,2021-03-03 00:00:00,2021-02-20 00:00:00,2021-03-05 00:00:00,2021-03-11 00:00:00,,2.0
Organic Search,Desktop,Beauty - Body Lotion,<function <lambda> at 0x7eee915b4860>,Facebook OAuth,USD,US,ORD00052573,,USER0000002,65.79,USD 65.79,2020-09-27 00:00:00,2020-09-03 00:00:00,2020-10-11 00:00:00,2020-10-15 00:00:00,,14.0
  Social Media - Instagram  ,Desktop,Fashion - Hoodie,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00008804,PROD9436,USER0020350,42.59,USD 42.59,2019-03-20 00:00:00,2019.03.19,2019-03-21 00:00:00,2019-03-23 00:00:00,,1.0
Organic Search,Mobile Web,Fashion - Hoodie,Europe,Email,EUR,NL,ORD00059585,PROD3546,USER0000003,89600.0,EUR 89.60,2021.02.10,2021-01-30 00:00:00,,,,
Organic Search,Desktop,Electronics - Phone Case,Middle East,Email,ILS,IL,ORD00092141,PROD6097,USER0000543,408.17,ILS 408.17,2024-11-22,13-11-2024,2024-11-26 00:00:00,2024-12-04 00:00:00,,4.0
